Date,Result,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
2020-01-02,0,"Outrage and Disgust After 'Serial Killer' Navy SEAL, Pardoned by Trump for War Crimes, Rebrands as Conservative Influencer: In Iraq, Gallagher allegedly committed a number of war crimes, including killing a 15-yr-old. Gallagher was acquitted of all crimes other than posing with the child's body","An Australian zookeeper took home monkeys, pandas, and a tiger in order to keep them safe from bushfires",Australian Prime Minister Scott Morrison heckled and told he's 'Not Welcome' by residents of region devastated by unprecedented fires.,Plastic bags are now banned in Mexico City,Hong Kong Cops Aren’t Sorry For Pepper Spraying A Politician Right In the Face: A police officer tore off a politician's goggles and sprayed him at close range — twice.,ExxonMobil Wishes Australia a 'Fun' New Year as Country Burns in Climate Crisis,Germany cuts fares for long-distance rail travel in response to climate crisis,"The Green New Deal- Study: 'Researchers devised a plan for how 143 countries, which represent 99.7 percent of the world’s carbon emissions, could switch to clean energy. This plan would create nearly 30 million jobs, and it could save millions of lives per year just by reducing pollution.'",World Bank urged to rethink investment in one of Brazil's big beef companies over concerns of illegal cattle farming in the Amazon Rainforest,'Entire Species Are Being Wiped Out': Ecologists Say Half a Billion Animals May Have Been Killed by Australia Wildfires,"More than 100 Uyghur graveyards demolished by Chinese authorities, satellite images show",Taiwan’s top military leader killed in Black Hawk chopper crash,Thousands of tourists have been given less than 48 hours to evacuate fire-ravaged coastal communities as Australia braces for a heatwave Saturday expected to fan deadly bushfires,Nearly Half A Billion Animals Have Died In Australian Bushfires Since September,Norway records warmest ever January day at 19C | The highest temperature of 19C was more than 25C above the monthly average. It also breaks the record for any winter month (December to February) in Scandinavia,Angry Cobargo residents explode at Scott Morrison as PM tours fire-ravaged towns,"The bushfire smoke in Australia has blown across 2200km/ 1370mi of ocean, staining the snow in New Zealand",2019 was Australia's hottest year on record – 1.5C above average temperature,Scott Morrison heckled by angry bushfire survivors in southeast NSW,Unredacted Docs Show Pentagon’s Legal Panic Over Withholding of Ukraine Aid,New South Wales declares a 7-day state of emergency as Australia's deadly bushfires rage,"Prince Andrew’s accuser urges: 'Let's take down the one per cent' | Virginia Roberts Giuffre, who claims she was trafficked to the UK to have sex with Prince Andrew, vowed to make 2020 “a year to be remembered in history” as the investigation into convicted sex offender continues",French citizen dies in US immigration custody,Taiwan passes bill against China influence ahead of elections,President Tsai Ing-wen Calls on Beijing to Treat Taiwan as a Sovereign State
2020-01-03,1,"Trump accused of hypocrisy for ordering the potentially inflammatory killing of a top Iranian general, after a series of tweets emerged from 2011 of him saying former president Obama would start a war with Iran in order to get re-elected",Qasem Soleimani among those killed in Baghdad Airport attack – report,Trump administration briefed Israel on the Suleimani attack before it briefed Congress: report,World leaders largely condemn the deadly US drone strike on Iranian general as a 'dangerous escalation' while the UN calls the move 'likely unlawful',Firefighter refuses to shake Prime Minister Scott Morrison’s hand in Cobargo,The UK government warns Trump that war with Iran is 'in none of our interests',Iranian general says U.S. should leave Middle East or start sending coffins for American troops,The US Didn't Warn Britain Or Its Other European Allies Ahead Of The Planned Airstrike To Kill Iran's Top Military Commander,"US to deploy 3,500 additional troops to the Middle East after killing of Iranian general","Iraq’s Parliament vows to eliminate the US presence in Iraq. Iraq’s deputy parliament speaker says they’ll hold an emergency meeting & make ""decisive decisions that put an end to US presence inside Iraq""","Hundreds of Thousands of Iranians Flood Streets to Condemn US Assassination of Qassem Soleimani | The massive rallies discredited U.S. Secretary of State Mike Pompeo's claim that the people of Iran would ""view the American action last night as giving them freedom.""",Iran to take international legal measures against U.S. for Soleimani's killing,‘He turned his back on me’: Cobargo woman forced to shake PM’s hand lost everything in fires | Prime minister Scott Morrison says he talked to the woman about funds for fire service but video shows him ignoring her and walking away after she starts asking questions,Iran says US crossed 'red lines' by assassinating Qassem Soleimani,"Australia’s PM Morrison called an “idiot”, jeered by angry bushfire victims","Sanders Condemns Trump for Putting US on Path to 'Another Disastrous War in the Middle East': ""Trump promised to end endless wars, but this action puts us on the path to another one,"" says Sanders of Trump's order to assassinate top Iranian military leader Qasem Soleimani.",U.S. embassy urges citizens to depart Iraq immediately,"The Amazon Rainforest Is About To Cross An Irreversible Threshold That Will Turn It Into A Savanna, Top Scientists Say","Iraqi PM condemns US ‘assassination’ of Iran’s Soleimani, al-Muhandis. The strike also violated the conditions of US military presence in Iraq and should be met with legislation that safeguards Iraq’s security and sovereignty, he added. He called on parliament to convene in an extraordinary session.",Denmark sets record by sourcing nearly half its power from wind energy. Over 47 per cent of energy was generated by wind turbines in 2019.,United Nations chief's spokesman after US strike: 'The world cannot afford another war in the Gulf',Amazon threatens to fire employees who speak out on climate change,Iran State TV Cuts Broadcasts — And is Just Showing Photos of Assassinated General Qasem Soleimani,Pompeo says Trump made the world safer by killing top Iranian general Soleimani as the State Department tells Americans to flee Iraq.,The Australian: Murdoch-owned newspaper accused of downplaying bushfires in favour of picnic races
2020-01-06,1,"The Trump administration is barring Iran’s top diplomat from entering the United States this week to address the United Nations Security Council about the U.S. assassination of Iran’s top military official in Baghdad, violating the terms of a 1947 headquarters agreement .","Top Iranian Presidential Adviser Says Tehran's 'Sole Problem is Trump,' Not Average American People: ""We have zero problems with the American people. We even achieved deals with previous US administrations. Our sole problem is Trump,"" Ashena said",Iranian presidential adviser posts list of properties owned by Donald Trump in chilling hint of an attack on his real estate empire,Boris Johnson warns Trump that targeting Iranian cultural sites would break international law,Senior US officials say there is widespread opposition within the Trump administration to targeting cultural sites in Iran,"Without Evidence of 'Imminent' Attack on Americans, the White House's Justification for Killing Iranian General Seems Hollow: Reports now suggest that Trump took the unprecedented step of killing a foreign leader based on thin evidence of a threat and with an eye towards domestic politics.",Actor Russell Crowe has used his winner's speech at the Golden Globes to raise awareness of the deadly bushfire crisis in Australia.,Congress rebukes Trump over Iran: ‘You’re not a dictator’,Trump tells Congress to follow him on Twitter for updates on war with Iran,"Erdogan: ""I had called on (U.S. President Donald) Trump to exercise restraint toward Iran in a phone call four or five hours before the strike. We were also shocked upon receiving the news.Killing a high-ranking commander of a country, a state, would not be left unrequited”","Iraqi Parliament Votes to Expel All American Troops and Submit UN Complaint Against US for Violation of Sovereignty: ""What happened was a political assassination. Iraq cannot accept this.""",Israeli PM Netanyahu resigns from all ministerial posts,Pentagon chief of staff resigns amidst growing Iran tensions,Top bosses 'earn average salary within three days',Croatia elects leftist challenger as president,Pompeo and Pence reportedly pushed Trump to kill Soleimani. Pentagon leaders were 'stunned' Trump agreed.,"Trump Says US Will Not Leave Iraq Until Baghdad Pays for American Air Base, Threatens Sanctions against Iraq",Trump says doesn't need Congress's OK for even 'disproportionate' strike,US army preparing to 'move out' of Iraq as fears of Iran strike mount,"Trump Doubles Down on Striking Cultural Sites in Iran | President Donald Trump Insisted That Iranian Cultural Sites Were Fair Game for the U.S. Military, Dismissing Concerns Within His Own Administration That Doing so Would Constitute a War Crime Under International Law.","Sacha Baron Cohen Calls Out ‘Naive, Misguided Child’ Mark Zuckerberg at the Golden Globes",Extinction Rebellion protesters occupy Shell gas rig to stop it heading out to North Sea,UNESCO says U.S. signed treaties not to harm cultural heritage,Thousands march in France over decision to not prosecute Jewish woman’s killer,Germany: Trump's Iraq sanctions threat 'not helpful'
2020-01-07,0,Trump officials are bending over backwards to say he didn't threaten to commit a war crime after he repeatedly threatened to commit a war crime,"Iranian Foreign Minister Says Iran Will Respond ‘Proportionately’ To Soleimani Assassination: “This is an act of aggression against Iran, and it amounts to an armed attack against Iran. But we will respond proportionately - not disproportionately. We are not lawless like President Trump.”","'They Fear Someone Will Go There and Tell the Truth,' Says Iran's Top Diplomat as Trump White House Bars Him From US","Pentagon says will not break law of war, despite Trump threat",Iranian Parliament passes draft bill labelling US military as a terror organisation,Saudi Prince Tweet About Monday Meeting With Trump That White House Never Disclosed: reporters note that the meeting was not on the president’s public schedule and some speculated as to whether the public would have known about the meeting if the Saudi prince had not tweeted about it.,Elton John pledges $1 million to Australian bushfire disaster relief fundraiser,Pompeo again declines to present evidence of 'imminent' threat that led to strike against Iranian general,The United States' allies warn Trump that terrorists 'would be the only winners' of war with Iran,More Than One Billion Animals Killed in Australia Wildfires Called a 'Very Conservative' Estimate,Former US ambassador who was hostage during 1979 Iran crisis said he wants 'nothing to do' with Trump's threats toward Tehran,Bots and trolls spread false arson claims in Australian fires ‘disinformation campaign’,Greta Thunberg dismisses Meat Loaf's claims that she's 'brainwashed': 'It's all about scientific facts',"Australia: More than 10,000 camels to be shot from helicopters because they drink too much water",US Defense Secretary contradicts Trump on targeting Iranian cultural sites: We 'follow the laws of armed conflict','This is war': actor Yael Stone gives up US green card and will now live in Australia to fight climate change: Orange is the New Black star says the air travel needed for a life in two continents is ‘environmentally unjust’,"Iraqi PM says he received the signed US 'withdrawal' letter, while Pentagon claims an unsigned draft version of the letter had been mistakenly sent","Spain forms new goverment, led by socialdemocrat Pedro Sánchez with democratic socialist Iglesias joining as vicepresident, promising to negotiate with independentist parties",Canada pauses military operations in Iraq amid escalating U.S.-Iran tensions,"US Official says Washington anticipating ‘major’ attack by Iran, possibly targeting an American commander; US air force seen readying forces for possible war","The Climate Crisis Is Now Detectable in Every Single Day of Weather Across The Planet | Researchers from Switzerland and Norway now claim to have detected the ""fingerprint"" of climate change in every single day of weather in the global record since 2012.",24 Australians arrested for deliberately setting fires this season,"Filmmaker Michael Moore issues personal appeal to Iran on Trump - ""I have just sent the Ayatollah of Iran a personal appeal asking him not to respond to our assassination of his top general with violence of any kind, but rather let me and millions of Americans fix this peacefully""","Philippine President Rodrigo Duterte’s campaign against illegal drugs has failed to substantially eradicate the menace and ensnare major drug lords and should be reformed to prevent further bloodshed, the country’s vice president said","Pentagon Contradicts Trump, Says U.S. Won't Strike Iran's Cultural Sites"
2020-01-08,0,Multiple rockets hit Taji base in Iraq,Boeing 737 crashes in Iran after take off,Trump Announces to Seek Peace with Iran,Justin Trudeau vows to get answers over Iran plane crash which killed 63 Canadians,Iran plane crash: Ukraine deletes statement attributing disaster to engine failure,"Iran plane crash most likely a ‘shootdown event’, aviation experts say.",U.S. congressional study urges sanctions on China over 'crimes against humanity',Iran threatens to attack inside America if US responds to missile attacks. From CNN’s Artemis Moshtaghian,Iran believed to have deliberately missed U.S. forces in Iraq strikes says sources.,250 Million Workers Take Part in All-India Strike Against Government Policies - The Largest Strike in the History of India,‘No War With Iran’ marches set for Thursday across US,Iran claims 80 American troops killed in missile barrage; US says no casualties,"Trump will not deliver address tonight, White House official says",Iran state TV claims missile launch against U.S. base in Iraq | CBC News,Poll: World skeptical Trump will do right in global affairs,Trump announces sanctions against Iran after attacks,Iraqi prime minister: Trump used diplomatic cover to lure Soleimani to his death,'Everyone's scared' - Puerto Rico declares emergency after earthquakes,"US military: Iran has launched ""more than a dozen ballistic missiles"" to at least two Iraqi military bases hosting US military and coalition personnel at al-Assad and Erbil.","Hong Kong police seized more than 3,700 mobile phones from protesters in space of five months and had devices broken into to read contents, security chief reveals",Iran threatens to attack Dubai and Haifa if country is bombed,Much of Puerto Rico still without power after worst earthquake in a century,"For just the second time, LIGO has detected gravitational waves (ripples in space-time) from the merger of two neutron stars. The neutron stars — which each cram more than the mass of the Sun into a city-sized space — have a combined mass greater than any other pair of neutron stars ever observed.",Canada 'temporarily' moving troops out of Iraq,"Tweet calling for killing of Muslims in India doesn't violate rules, says Twitter"
2020-01-09,1,Pentagon officials and Iraqi intelligence confirm Ukrainian plane was shot down,P.M Morrison Said He's Thankful Nobody Died In Kangaroo Island Bushfire That Killed Two,PM Trudeau says Canada has intelligence from multiple sources that the plane was shot down by an Iranian surface to air missile.,North Korean mother facing jail for saving children from fire instead of portraits of Kim family,"Bushfire protests targeting Scott Morrison to go ahead in Melbourne despite Victoria Police fears of 'resource drain' | Organisers say they are calling for all firefighters to be paid, aid for affected communities, an immediate transition away from fossil fuels, and the sacking of PM Scott Morrison",Ukraine wants to search Iran plane crash site for possible Russia missile debris,Lawmakers tear into Trump over a military briefing they say provided no evidence of the alleged 'imminent threat' from Iran,The unclassified copy of Trump's memo to the Senate informing it of the Soleimani strike shows a huge loophole in his justification -- 'does not indicate that the Iranian general posed an imminent threat to US regional interests',"Without Evidence, Trump Blurts Out US Assassinated Soleimani Because He Was Trying to 'Blow Up Our Embassy'",Deutsche Bank’s loans to Donald Trump were underwritten by Russian state-owned VTB Bank,Iran says it will let Canadian investigators join plane crash probe,Zimbabwe park rangers overpowered by poachers during arrest found drowned in lake,"U.S., Iran both appear to signal desire to avoid further conflict",Mental health crisis looms after seven months of Hong Kong protests,Australian man who lost home to bushfires wins millions on Lotto,Iran plane crash: Ukraine says flight may have been shot down by Russian-made missile after ‘fragments discovered’ near site - Rocket strike ‘among the main working theories’,"Indigenous grandfather, 12-year-old girl handcuffed after trying to open bank account | Victim believes the employee might have been suspicious because he had $30,000 in his account — an amount he and every other member of the Heiltsuk nation received in December from the federal government",Ukraine Flight 752 crash video: New CCTV footage shows final moments of passenger plane,A new virus related to SARS is behind China's mysterious pneumonia outbreak,Facebook refuses to restrict untruthful political ads and micro-targeting - Twitter banned political ads outright in October while Rival Google limits ad targeting to broad categories,Fires in Amazon forest rose 30% in 2019,Greta Thunberg questions newspapers that accept fossil fuel advertising,CIA Director Gina Haspel reportedly pushed for Soleimani's killing and correctly predicted Iran's response,Japanese billionaire giving out $9 million in basic income trial,"Raise taxes on the rich to tackle inequality, IMF says | 'Our research shows that marginal tax rates can be raised without sacrificing economic growth', fund's chief says"
2020-01-10,1,Trump Complains About Not Winning the Nobel Peace Prize Days After Threatening to Commit War Crimes,Trump now says climate change is ‘serious’ and not a ‘hoax’.,House passes resolution to limit Trump's war powers against Iran,Iranian bulldozers clear plane crash site before Ukrainian investigators arrive,Trump reportedly admitted impeachment played a big role in his Soleimani decision,US strike targeting Taliban commander causes 60 civilian casualties,"News Corp employee lashes climate 'misinformation' in bushfire coverage with blistering reply-all email to executive chairman | “I find it unconscionable to continue working for this company, knowing I am contributing to the spread of climate change denial and lies.""",Europe Is a Hard Nope on Helping Trump With Iran: Trump has spent years trashing the U.S.' European allies. Now he wants their help with Iran.,"Jo Daniels, 39, who would lose her vision if there was not enough male blood available to treat her condition, is urging more men to donate. Daniels, from Bristol, has autoimmune disease Sjogren's syndrome. It currently has no cure. She uses a daily eye serum made from male blood to keep her sight.","Brazilian supreme court rules Netflix allowed to show gay Jesus film, reaffirming Brazilians’ right to free speech after judge in Rio de Janeiro ordered the film’s withdrawal",Senegal is constructing West Africa’s largest wind farm that will supply 158MW of electricity to 2 million people,Tens of thousands attend Sydneys CBD to fight the Australian governments denial on climate change.,Trump says he deserves Nobel Peace Prize not Abiy Ahmed,Tens of thousands protest Australian PM's climate policies amid bushfire crisis,"Mike Pompeo admits U.S. did not know where and when Soleimani attacks would happen, despite previously warning of ""imminent threat""",Russian warship 'aggressively approached' US destroyer in Arabian Sea,Indian supreme court suggests that the lifetime generation of oxygen must be factored into the computation of the value of a tree,Iraqi prime minister tells Pompeo to 'prepare a mechanism' for troop withdrawal,"UK ban on US chlorinated chicken 'to continue after Brexit' - Chlorine-washed chicken and hormone-treated beef will be kept out of the UK under any trade deal with the US, the environment secretary has promised.",Internal Boeing messages raise serious questions about 737 Max - Communications from April 2017 show employees saying plane ‘designed by clowns who are supervised by monkeys’,London and NYC Mayors Call on Every Major City in the World to Divest From Climate-Destroying Fossil Fuels,The world trusts Vladimir Putin and Xi Jinping more than Trump,"'Serious concerns' raised over integrity of Iran plane crash site - Experts express shock at Iran’s conduct, amid fears Tehran is trying to destroy evidence","Thousands protest in Australia to ""Sack Scomo"" amid bushfire crisis.",A Blind Refugee With Schizophrenia Was In Detention For The Entire 2010s. He Just Won A Huge Court Case. [Australia]
2020-01-13,0,China cries foul after 60 countries congratulate Taiwan's President Tsai on re-election,"Iran anchor resigns after 'lying' for regime for 13 years, as anti-government protests grow","Trump authorized Soleimani's killing 7 months ago, with conditions | The timing raises new questions about the Trump administration's stated justification for taking out the top Iranian general.","Trump Tied Soleimani Hit To Support From GOP Hawks Ahead Of Impeachment Trial According to NYT and WSJ: New motivation emerges after contradictory Trump administration accounts of ""imminent"" threats justifying airstrike assassination.",‘Our enemy is here’: Iran protesters demand leaders quit after military admits it shot down plane,"New Zealand schools to teach students about climate crisis, activism and 'eco anxiety' - Changes to the curriculum will put the country at the forefront of climate crisis education worldwide",Same-sex marriage now legal in Northern Ireland,"Exhausted firefighters said they had finally brought Australia's largest ""megablaze"" under control Monday | Firefighters said they finally had the upper hand in the fight against the vast Gospers Mtn fire on Sydney's northwestern outskirts, which has been burning out of control for almost 3 months",Iran Opens Fire On Demonstrators. Protesters Chant: ‘Our Enemy Is Here; They Lie To Us That It’s America’,7 billion-year-old grain of stardust found in Victorian meteorite older than the solar system,Plastic warning after yoghurt pot from 1976 Olympics washes up on beach intact,"Trump Expected to Be Praised for Soleimani Killing, but Majority Say it Made US Less Safe","In blow to Netanyahu, lawmakers vote to set up panel to debate his immunity. The panel is likely dismiss Netanyahu’s request to evade prosecution",China's latest move in its Uighur crackdown is forcing Muslims to redecorate their homes to make them look more Chinese: Uighurs ordered to remove traditional furniture or design elements — and witnesses said that the vast majority are complying under threat of being sent to internment camps.,"Iran's only female Olympic medalist says she has defected referring to herself as ""one of the millions of oppressed women in Iran""",South Korean surgeon who saved the life of a North Korean defector in 2017 is now the victim of workplace abuse and bullying,"Ocean heat hit record high in 2019, showing “irrefutable and accelerating” heating of the planet",Rabbi arrested for 'holding 50 women and children in slavery',Iranian security forces open fire at protesters in Tehran,Pentagon chief says no specific evidence Iran was plotting to attack four U.S. embassies,EU Commission bans Bayer pesticide linked to harming bees,'We are captives': Iranian actor criticises regime in Iran,Mark Hamill quits Facebook to protest ads,"Activists placed hundreds of painted-red women’s shoes on Mexico City’s main square Saturday to call attention to gender-based violence in a country where, on average, 10 women and girls are murdered each day and less than 10% of the cases are solved. “Unfortunately women are not safe anywhere.”",China’s giant telescope with area of 30 football fields goes live
2020-01-14,1,WATCH: Putin and Assad caught on video laughing as they mock Trump during Damascus meeting,"Human rights group: Saudi Arabia executed 184 people in 2019 — On April 23, Saudi Arabia executed 37 people, including 3 people who were children at time of alleged offenses. ""A country that tortures and executes children should be a pariah state not preparing to host the next meeting of the G20.""",Brexit will soon have cost the UK more than all of its payments to the EU over the last 47 years put together - [£215B],Queensland town runs out of water after Chinese company given green light to extract water from area,"Trump says he stands with Iranians amid anti-government protests. But he's banned them from US travel, threatened to bomb their cultural sites, and mocked the way they dress.",IRGC arrest person who uploaded video of missile striking Ukrainian plane,Canada's Trudeau: Iran plane victims would be alive had there been no regional tensions,Barr and Pompeo shift justification for Iran strike from 'imminent' threat to deterrence,Female cartel boss known as 'Dame of Death' killed in shootout with Mexican state forces,Japanese shrine bans foreign visitors following disrespectful behaviour by tourists,Boris Johnson refuses to grant Scotland powers to hold independence vote,Almost all of Britain's top universities have committed to selling their shares in fossil fuel companies after pressure from eco-conscious students who have occupied buildings and carried out hunger strikes.,"Australia bushfires are harbinger of planet’s future, say scientists — “We are not going to reverse climate change, so the conditions that are happening now will not go away. These weather patterns will keep happening. If climate change continues, they will get more severe.”",Lithuania to ban Chinese-speaker who vandalised pro-Hong Kong crosses.,"EU confirms there will be border checks inside UK under Brexit deal, contradicting Boris Johnson's false claim. Michel Barnier says there will be 'checks and controls' on GB-NI trade after keeping quiet during election campaign","Six tourists, including a French woman, have been arrested over accusations that they damaged Peru's cultural heritage by defecating in a sacred temple at the iconic Machu Picchu sanctuary","Oceans are warming at the same rate as if 5 Hiroshima bombs were dropped in every second | Study says that while the oceans warmed steadily between 1955 and 1986, warming has accelerated rapidly in the last few decades. Between 1987-2019, ocean warming was 450% greater than during the earlier period","Iran disqualifies thousands from running for parliament, mostly reformist and moderate candidates",Russians Hacked Ukrainian Gas Company at Center of Impeachment,"Trump criticized over reported plan to divert another $7.2 billion from military funds for a border wall that can be ""defeated by a $100 saw""","Amazon CEO, Jeff Bezos is getting slammed for his donation of $690,000 to the Australian wildfire recovery, which is less than he made every 5 minutes in 2018","Thirty percent of Earth's surface across land and sea should become protected areas by 2030 to ensure the viability of ecosystems essential to human well being, according to a UN plan",The Russian military is now deploying its hackers to hunt for dirt on Biden too: report,Asia-Pacific nations urge 'big brother' Australia to take lead on climate change,Metallica donated almost as much to the [Australia] n Bushfire Recovery as the richest man alive.
2020-01-15,0,European Union Wants All Smartphones To Have A Standard Charging Port,Tsai Ing-wen says Beijing must face reality that Taiwan is ‘an independent country already’,"A US citizen, who once begged for President Trump's help, has died after more than six years without a fair trial in an Egyptian prison.",Documents released showing evidence of stalking (and potential harm) towards the ex USA ambassador to Ukraine,Marie Yovanovitch Calls for Investigation Into ‘Disturbing’ Possibility She Was Stalked in Ukraine,"The decade that just ended was by far the hottest ever measured on Earth, capped off by the second-warmest year on record. And scientists said they see no end to the way man-made climate change keeps shattering records. ""This is real. This is happening,"" director of NASA's GISS said","Russian government resigns, announces PM Medvedev, following President Putin's State-of-the-Nation Address",Germany to invest 86 billion euros to upgrade ageing railway network in the country’s “biggest modernisation project ever”,Flame retardants and pesticides overtake heavy metals as biggest contributors to IQ loss,"Climate change deniers robbing Australia of time to respond to impacts, Australian Science Minister warns | ""Every second that we spend talking about whether or not the climate is changing is a second that we are not spending on looking at adaptation [and] mitigation strategies.""",Australian billionaire likely to be granted approval to open new coal mine in nature reserve,Cabinet minister warns climate deniers are robbing Australia of time responding to its impacts,A handwritten note on Ritz-Carlton paper shows Giuliani associate Lev Parnas spelling out his top goal for Ukraine's president: Announce a criminal probe into Joe Biden,Man removed from priesthood over child sex abuse reemployed in diocese a month later in Poland,"Australia urged to stop selling weapons to countries accused of war crimes - It’s unthinkable Australia sells arms to the Democratic Republic of Congo, where 5 million people have been forced to flee, human rights groups say","Iran reportedly to sue Trump, US military over Soleimani killing",Pompeo says killing of Suleimani is part of 'bigger strategy' to deter US foes: ‘Real deterrence’ strategy – which also apply to Russia and China – is at odds with earlier assertion that general was killed due to imminent threat to US,"Trump says U.S. troops stayed in Syria ""because I kept the oil""","Australian fire fighters save prehistoric Wollemi Pine trees in military style operation, the only 200 left native in the world.",Catholic Church Moves Funds Around to Shield $2 Billion in Assets from Abuse Victim Settlements,Brexit will have soon cost the UK more than all its payments to the EU over the past 47 years put together,The sheer number of animals killed in Australia’s bushfires could collapse entire ecosystems,"Trump impeachment: Giuliani ‘acted with president’s consent’ while pushing for Ukraine meeting, new evidence suggests",Labour leadership: Lisa Nandy says UK should refuse US trade deal if Trump quits Paris climate accord,Australia will not hit its 2020 emissions targets until 2030
